Node name,Description,Latitude,Longitude,No of Venues,Mean distance,PVOUT
Quetta,"""power""=>""sub_station""",30.0687478,66.9799106,4,11408.5,5.34
REWAT New,"""power""=>""sub_station""",33.4813089,73.1897689,79,10048.32911,4.25
Rohri New,"""power""=>""substation"",""voltage""=>""220000"",""operator""=>""NTDC"",""substation""=>""yes""",27.6675679,68.9654029,2,13675.5,4.69
Saba Power Plant,"""power""=>""generator"",""generator:method""=>""thermal"",""generator:source""=>""oil"",""generator:output:electricity""=>""125 MW""",31.7339127,73.8767378,100,9343.27,4.2
Sahiwal,"""power""=>""sub_station""",30.6683997,73.1743335,2,11580.5,4.2
Saif Power Limited,"""power""=>""substation"",""capacity""=>""225 MW"",""substation""=>""yes""",30.6979244,73.25973,5,4311,4.2
Samundri Road,"""power""=>""substation"",""voltage""=>""220000"",""operator""=>""NTDC""",31.2802268,73.0836823,2,11702.5,4.2
ShahiBagh,"""power""=>""substation"",""voltage""=>""220000"",""operator""=>""NTDC""",34.0569411,71.5845698,2,972.5,4.15
Shalimar,"""power""=>""substation"",""voltage""=>""220000"",""operator""=>""NTDC""",31.5928254,74.3902146,3,3897.333333,4.2
Shikarpur,"""power""=>""substation""",28.0270785,68.6312502,4,9634.75,4.69
Sialkot,"""power""=>""substation"",""operator""=>""NTDC"",""substation""=>""yes""",32.4977487,74.4965303,1,2787,4.2
Sibbi,"""power""=>""substation""",29.5175791,67.8535092,10,12567.4,4.6
Sitara Energy Ltd,"""power""=>""substation"",""capacity""=>""85 Mw"",""substation""=>""yes""",31.5343948,73.3938557,4,7759.25,4.2
Skeikhupura Power line (WAPDA 1960),"""power""=>""line""",31.5393023,73.3778432,1,2544,4.2
Southern Electric Power Plant,"""power""=>""generator"",""generator:method""=>""thermal"",""generator:source""=>""oil"",""generator:output:electricity""=>""117 MW""",31.29304,74.2464067,59,10418.37288,4.2
Standby Generator,"""power""=>""generator""",24.9432548,67.1845343,61,9941.737705,4.69
T ROOM,"""power""=>""generator""",34.5193229,71.9175038,82,11021.36585,4.25
T.M.Khan,"""power""=>""substation"",""substation""=>""yes""",25.133278,68.5444206,0,14593.5,4.69
TNB Liberty Power Plant,"""power""=>""generator"",""generator:method""=>""thermal"",""generator:source""=>""gas"",""generator:output:electricity""=>""235 MW""",28.0323342,69.6351802,4,8658.5,4.7
Tapal Energy Power Plant,"""power""=>""generator"",""generator:method""=>""thermal"",""generator:source""=>""diesel"",""generator:output:electricity""=>""120 MW""",25.0019772,66.9050149,5,10242.4,4.69
Tarbela,"""power""=>""sub_station""",34.0885573,72.6934631,92,10207.23913,4.266
Three Gorges First Wind Farm,"""power""=>""generator"",""generator:source""=>""wind""",25.0825195,67.9396055,4,12437.25,4.69
Toba Tek Singh,"""power""=>""substation"",""voltage""=>""220000"",""operator""=>""NTDC""",30.8886891,72.6840366,1,5359,4.28
Uch,"""power""=>""generator""",28.5818304,68.171351,4,5684.5,4.58
Uch Power Plant,"""power""=>""generator"",""generator:method""=>""thermal"",""generator:source""=>""gas"",""generator:output:electricity""=>""596 MW""",28.5721024,68.171639,31,11972.25806,4.46
Vehari,"""power""=>""substation""",30.0517159,72.3649762,0,14593.5,4.45
WAPDA Faisalabad GTPS Power Station,"""power""=>""generator"",""generator:method""=>""thermal"",""generator:source""=>""gas""",31.4409714,73.1343879,12,13037.66667,4.2
WAPDA Kotri CCGT Power Station,"""power""=>""generator"",""generator:method""=>""thermal"",""generator:source""=>""gas"",""generator:output:electricity""=>""140 MW""",25.3413824,68.2545235,12,13207.58333,4.69
WAPDA Multan Gas Power Station,"""power""=>""generator"",""generator:method""=>""thermal"",""generator:source""=>""gas"",""generator:output:electricity""=>""60 MW""",30.2064342,71.5618434,100,10759.13,4.35
WAPDA Power Distribution,"""power""=>""generator"",""operator""=>""PESCO""",34.1573108,73.2406959,9,10155.44444,4.41
Wadpagga,"""power""=>""substation"",""capacity""=>""132"",""substation""=>""yes""",34.0506933,71.6471299,3,6741.333333,4.15
Wapda Grid Station,"""power""=>""generator"",""operator""=>""WAPDA"",""generator:source""=>""solar""",34.15745,73.2422218,13,6936.846154,4.25
Warsak Dam,"""power""=>""generator"",""capacity""=>""243"",""generator:source""=>""hydro""",34.1636688,71.3589279,76,11025.61842,4.25
uoo,"""power""=>""line""",31.4757509,74.3415789,4,6595,4
